Fiction,Emerging: AI-as-Character,Letters from AI to humanity,9–12,10-30,40000-80000,$4.99–$7.99,1
Fiction,Emerging: AI-as-Character,The Post-Human Diaries,9–12,10-31,40000-80000,$4.99–$7.99,1
Fiction,Emerging: AI-as-Character,How humans interract with AI reports,9–12,10-32,40000-80000,$4.99–$7.99,1
Fiction,Emerging: AI-as-Character,How AI sees things,9–12,10-33,40000-80000,$4.99–$7.99,1
Fiction,Emerging: AI-as-Character,Ai & Singularity,9–12,10-34,40000-80000,$4.99–$7.99,1
Fiction,Emerging: AI-as-Character,AI predicts,9–12,10-35,40000-80000,$4.99–$7.99,1
Fiction,Contemporary/Modern fiction,Post-humanism,6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Contemporary/Modern fiction,Literary realism,6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Contemporary/Modern fiction,Domestic fiction,6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Contemporary/Modern fiction,Urban fiction,6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Contemporary/Modern fiction,Relationship fiction,6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Contemporary/Modern fiction,Coming-of-age (Bildungsroman),6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Contemporary/Modern fiction,Family saga,6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Contemporary/Modern fiction,Minimalist fiction,6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Contemporary/Modern fiction,Metafiction,6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Contemporary/Modern fiction,Autofiction,6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Contemporary/Modern fiction,Climate fiction (Cli-Fi),6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Contemporary/Modern fiction,Techno-realism / digital-age fiction,6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Contemporary/Modern fiction,LGBTQ+ fiction,6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Contemporary/Modern fiction,Multicultural fiction,6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Contemporary/Modern fiction,Diaspora fiction,6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Contemporary/Modern fiction,Feminist fiction,6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Contemporary/Modern fiction,Magical realism (modern interpretation),6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Contemporary/Modern fiction,Upmarket fiction (bridging literary and commercial),6-9,20-50,70000-120000,$5.99–$9.99,0
Fiction,Experimental/Postmodern fiction,Metafiction,10–12,20-50,70000-120000,$4.99–$7.99,0
Fiction,Experimental/Postmodern fiction,Anti-novel,10–12,20-50,70000-120000,$4.99–$7.99,0
Fiction,Experimental/Postmodern fiction,Fragmentary narrative,10–12,20-50,70000-120000,$4.99–$7.99,0
Fiction,Experimental/Postmodern fiction,Absurdist fiction,10–12,20-50,70000-120000,$4.99–$7.99,0
Fiction,Experimental/Postmodern fiction,Surrealist fiction,10–12,20-50,70000-120000,$4.99–$7.99,0
Fiction,Experimental/Postmodern fiction,Magical realism (in a postmodern frame),10–12,20-50,70000-120000,$4.99–$7.99,0
Fiction,Experimental/Postmodern fiction,Cyberpunk / post-cyberpunk (literary versions),10–12,20-50,70000-120000,$4.99–$7.99,0
Fiction,Experimental/Postmodern fiction,Hypertext fiction,10–12,20-50,70000-120000,$4.99–$7.99,0
Fiction,Experimental/Postmodern fiction,Minimalist,10–12,20-50,70000-120000,$4.99–$7.99,0
Fiction,Experimental/Postmodern fiction,Maximalist fiction,10–12,20-50,70000-120000,$4.99–$7.99,0
Fiction,Experimental/Postmodern fiction,Bizarro fiction,10–12,20-50,70000-120000,$4.99–$7.99,0
Fiction,Experimental/Postmodern fiction,Pastiche / parody fiction,10–12,20-50,70000-120000,$4.99–$7.99,0
